Year,Artist,Album,Grammys Won,Billboard 200,GramBill
2010,Eminem,Recovery,2,7,9
2010,Kanye West,My Beautiful Dark Twisted Fantasy,3,1,4
2010,Taylor Swift,Speak Now,2,6,8
2010,Jason Aldean,My Kinda Party,0,0,0
2010,Katy Perry,Teenage Dream,0,1,1
2010,Rihanna,Loud,1,0,1
2010,Ke$ha,Animal,0,1,1
2010,Lady Antebellum,Need You Now,5,3,8
2010,Justin Bieber,My World 2.0,0,3,3
2010,Bruno Mars,Doo-Wops & Hooligans,0,0,0
2010,Bon Jovi,Greatest Hits: The Ultimate Collection,0,0,0
2010,Susan Boyle,The Gift,0,2,2
2010,P!NK,Greatest Hits So Far,0,0,0
2010,Drake,Thank Me Later,0,0,0
2010,Nicki Minaj,Pink Friday,0,1,1
2011,Drake,Take Care,1,1,2
2011,Lady Gaga,Born This Way,0,2,2
2011,Lil Wayne,Tha Carter IV,0,2,2
2011,Michael Buble,Christmas,0,5,5
2011,Ed Sheeran,Plus,0,0,0
2011,Adele,21,7,24,31
2011,Jay-Z & Kanye West,Watch The Throne,4,2,6
2011,One Direction,Up All Night,0,1,1
2011,Coldplay,Mylo Xyloto,0,1,1
2011,Rihanna,Talk That Talk,1,0,1
2011,Beyonce,4,1,2,3
2011,Luke Bryan,Tailgates & Tanlines,0,0,0
2011,Chris Brown,F.A.M.E,1,1,2
2011,Eric Church,Chief,0,1,1
2011,David Guetta,Nothing But The Beat,0,1,1
2012,Taylor Swift,Red,0,2,2
2012,Rihanna,Unapologetic,1,1,2
2012,Mumford & Sons,Babel,0,5,5
2012,P!NK,The Truth About Love,0,1,1
2012,Lana Del Rey,Born To Die,0,0,0
2012,Emeli Sande,Our Version Of Events,0,1,1
2012,Justin Bieber,Believe,0,1,1
2012,Imagine Dragons,Night Visions,1,1,2
2012,One Direction,Take Me Home,0,1,1
2012,Bruno Mars,Unorthodox Jukebox,1,1,2
2012,Macklemore & Ryan Lewis,The Heist,3,0,3
2012,The Lumineers,The Lumineers,0,0,0
2012,Kendrick Lamar,"GOOD KID, M.A.A.D. CITY",0,0,0
2012,FUN.,Some Nights,2,0,2
2012,Ellie Goulding,Halcyon,0,0,0
2013,Eminem,The Marshall Mathers LP 2,2,2,4
2013,Justin Timberlake,The 20/20 Experience,2,3,5
2013,Movie Soundtrack,Frozen,2,13,15
2013,Drake,Nothing Was The Same,0,1,1
2013,Miley Cyrus,Bangerz,0,1,1
2013,Katy Perry,Prism,0,1,1
2013,One Direction,Mignight Memories,0,1,1
2013,Avicii,TRUE,1,1,2
2013,Luke Bryan,Crash My Party,0,2,2
2013,Lorde,Pure Heroine,2,2,4
2013,Beyonce,Beyonce,3,3,6
2013,Daft Punk,Random Access Memories,5,2,7
2013,Bastille,Bad Blood,0,0,0
2013,Jay Z,Magna Carter…Holy Grail,1,2,3
2013,Blake Shelton,Based On A True Story,0,0,0
2014,J. Cole,2014 Forest Hills Drive,0,1,1
2014,Hozier,Hozier,0,1,1
2014,Ed Sheeran,Multiply,2,1,3
2014,Taylor Swift,1989,3,11,14
2014,Movie Soundtrack,Guardians Of The Galaxy,0,2,2
2014,One Direction,Four,0,1,1
2014,Coldplay,Ghost Stories,0,2,2
2014,Ariana Grande,My Everything,0,1,1
2014,Maroon 5,V,0,5,5
2014,Sam Smith,In The Lonely Hour,4,0,4
2014,Sam Hunt,Montevallo,0,0,0
2014,SIA,"1,000 Forms Of Fear",0,1,1
2014,AC/DC,Rock Or Bust,0,0,0
2014,Pink Floyd,Endless River,0,0,0
2014,George Ezra,Wanted On Voyage,0,0,0
2015,Broadway Soundtrack,Hamilton,1,0,1
2015,The Weeknd,Beauty Behind The Madness,1,3,4
2015,Chris Stapleton,Traveller,2,2,4
2015,Twenty One Pilots,Blurryface,1,1,2
2015,Adele,25,5,10,15
2015,Justin Bieber,Purpose,0,1,1
2015,Coldplay,A Head Full Of Dreams,0,0,0
2015,One Direction,Made In The A.M.,0,0,0
2015,Shawn Mendes,Handwritten,0,1,1
2015,Meghan Trainor,Title,1,1,2
2015,Drake,If You're Reading This It's Too Late,0,1,1
2015,Future,DS2,0,1,1
2015,Melanie Martinez,Cry Baby,0,1,1
2015,James Bay,Chaos And The Calm,0,1,1
2015,Halsey,Badlands,0,1,1
2016,Drake,Views,2,12,14
2016,Movie Soundtrack,Moana,1,0,1
2016,The Weeknd,Starboy,0,5,5
2016,Post Malone,Stoney,0,0,0
2016,Chris Lee,Growing Wild,0,0,0
2016,Beyonce,Lemonade,2,1,3
2016,Rihanna,Anti,0,2,2
2016,Big Bang,Made,0,0,0
2016,Ariana Grande,Dangerous Woman,0,0,0
2016,Bruno Mars,24k Magic,6,0,6
2016,Kanye West,The Life of Pablo,0,1,1
2016,Shawn Mendes,Illuminate,0,1,1
2016,SIA,This Is Acting,0,0,0
2016,Charlie Puth,Nine Track Mind,0,0,0
2016,Kevin Gates,Islah,0,0,0
2017,Elton John,Diamonds,0,0,0
2017,Taylor Swift,Reputation,0,3,3
2017,Kendrick Lamar,Damn.,5,4,9
2017,Khalid,American Teen,0,0,0
2017,Ed Sheeran,Divide,2,2,4
2017,Bryson Tiller,Trapsoul,1,0,1
2017,Luke Combs,This One's For You,0,0,0
2017,Movie Soundtrack,The Greatest Showman,1,0,1
2017,Imagine Dragons,Evolve,0,0,0
2017,BTS,Love Yourself: Her,0,0,0
2017,Drake,More Life,0,3,3
2017,XXXTentacion,17,0,0,0
2017,Sam Smith,The Trill Of It All,0,1,1
2017,SZA,CTRL,0,0,0
2017,Dua Lipa,Dua Lip,1,0,1
2018,BTS,Love Yourself: Answer,0,1,1
2018,Drake,Scorpion,1,5,6
2018,Movie Soundtrack,Bohemian Rhapsody,0,0,0
2018,Movie Soundtrack,A Star Is Born,1,3,4
2018,Post Malone,Beerbongs & Bentleys,0,3,3
2018,Travis Scott,Astroworld,0,3,3
2018,Cardi B,Invasion Of Privacy,1,1,2
2018,BTS,Love Yourself: Tear,0,1,1
2018,Juice Wrld,Goodbye & Good Riddance,0,0,0
2018,XXXTentacion,?,0,1,1
2018,A Boogie Wit Da Hoodie,Hoodie SZN,0,3,3
2018,Panic! At The Disco,Pray For The Wicked,0,1,1
2018,Ella Mai,Ella Mai,1,0,1
2018,Mac Miller,Swimming,0,0,0
2018,Eminem,Kamikaze,0,1,1
2019,Arashi,5x20 All The Best!! 1999-2019,0,0,0
2019,Taylor Swift,Lover,0,1,1
2019,Luke Combs,What You See Is What You Get,0,1,1
2019,Post Malone,Hollywood's Bleeding,0,5,5
2019,Ed Sheeran,No. 6 Collaborations Project,0,2,2
2019,Harry Styles,Fine Line,0,2,2
2019,Ariana Grande,"Thank U, Next",0,2,2
2019,Billie Eilish,"When We All Fall Asleep, Where Do We Go?",6,3,9
2019,BTS,Map Of The Soul: Persona,0,1,1
2019,R1SE,Going To Powerfully Burst,0,0,0
2019,Movie Soundtrack,Frozen 2,0,1,1
2019,Khalid,Free Spirit,0,1,1
2019,Doja Cat,Hot Pink,0,0,0
2019,Roddy Ricch,Please Excuse Me for Being Anti Social,0,4,4
2019,Summer Walker,Over It,0,0,0
2020,BTS,Map Of The Soul: 7,0,2,2
2020,Taylor Swift,Folklore,1,8,9
2020,Lil Baby,My Turn,0,5,5
2020,Juice Wrld,Legends Never Die,0,2,2
2020,Pop Smoke,"Shoot For The Stars, Aim For The Moon",0,2,2
2020,The Weeknd,After House,0,4,4
2020,Dua Lipa,Future Nostalgia,1,0,1
2020,Lay,Lit,0,0,0
2020,BTS,Be,0,1,1
2020,Blackpink,The Album,0,0,0
2020,Kid Laroi,Fuck Love,0,0,0
2020,Halsey,Manic,0,0,0
2020,Bad Bunny,YHLQMDLG,1,0,1
2020,Justin Bieber,Changes,0,1,1
2020,Polo G,The Goat,0,0,0
